"id";"name";"abv";"breweryId";"beerstyleId"
"2";"Jacobite Ale";"8.0";"1281";"144"
"5";"Alpha Centauri Binary IPA";"9.0";"1613";"117"
"8";"White Light White Heat";"8.0";"24229";"204"
"11";"Castaway IPA";"6.0";"1988";"36"
"14";"Elvis Juice";"6.0";"241";"36"
"17";"Hop Ottin' IPA";"7.0";"3880";"36"
"20";"Rodenbach Grand Cru";"6.0";"291";"366"
"23";"Bloed, Zweet & Tranen";"8.0";"3367";"249"
"26";"Rudeen";"7.0";"44695";"105"
"29";"Jack Hammer";"7.0";"241";"36"
"32";"Mosaic IPA";"8.0";"48372";"36"
"35";"Worker";"9.0";"225097";"153"
"38";"VanderGhinste Roodbruin";"5.0";"5213";"150"
"41";"Vurige Non";"7.0";"28335";"174"
"44";"Kama Citra";"4.0";"114709";"318"
"47";"KV Bier";"6.0";"271457";"195"
"50";"120 Minute IPA";"18.0";"459";"117"
"53";"Holy Günter";"5.0";"43977";"387"
"56";"Pronck India Pale Ale";"6.0";"184693";"36"
"59";"Blonde Trots";"6.0";"19921";"99"
"62";"Ten Dollar Shake";"6.0";"55184";"60"
"65";"Roos = B(l)ack";"10.0";"242585";"3"
"68";"'t Kofschip Barrel Aged #1 Rum barrel aged Saison";"6.0";"283162";"153"
"71";"Bush de Noël";"12.0";"188";"375"
"74";"90 Minute Imperial IPA";"9.0";"459";"117"
"77";"60 Minute IPA";"6.0";"459";"36"
"80";"Swearing Blonde";"6.0";"270175";"252"
"83";"Hijs IPA";"6.0";"264399";"819"
"86";"Boeit Me Geen Moer";"4.0";"269726";"102"
"89";"Je Moer";"10.0";"269726";"279"
"92";"Troubadour Magma Special Edition 2016 Maris Otter";"9.0";"299";"96"
"95";"Of Je Hop Lust (2016 release)";"6.0";"269726";"36"
"98";"Porter Saison";"6.0";"198169";"87"
"101";"Bullebak";"7.0";"277667";"201"
"104";"Pinksterdrie";"7.0";"296656";"66"
"107";"Ardenne Stout";"8.0";"18219";"3"
"110";"Troubadour Magma";"9.0";"299";"96"
"113";"Weizen";"5.0";"534";"739"
"116";"CORNET Oaked";"8.0";"150230";"126"
"119";"Tripel Kanunnik";"8.0";"18146";"45"
"122";"Molotov";"9.0";"14006";"3"
"125";"Trappist Westvleteren 8";"8.0";"263";"174"
"128";"Trappist Westvleteren 12";"10.0";"263";"78"
"131";"Westmalle Trappist Tripel";"9.0";"262";"45"
"134";"Tripel Karmeliet";"8.0";"269";"45"
"137";"LeFort";"10.0";"5213";"228"
"140";"Ciney Blonde";"7.0";"264";"72"
"143";"Kompaan 45 Vrijbuiter";"7.0";"32296";"279"
"146";"Nimf";"8.0";"68361";"45"
"149";"Hop Ruiter (US)";"8.0";"3568";"126"
"152";"Spaansch Benauwd";"10.0";"271494";"207"
"155";"Skitter";"9.0";"68907";"57"
"158";"Apres Kievit";"8.0";"246149";"375"
"161";"Framboise Girardin 1882";"5.0";"283";"198"
