"id";"updatedAt";"createdAt";"name";"description";"abvAvg";"abvMax";"abvMin";"ebcAvg";"ebcMax";"ebcMin";"tasteFruity";"tasteBitter";"tasteIntensity";"tasteSour";"tasteSweet";"originId";"originName";"categoryId";"categoryName";"biabCategoryId";"biabCategoryName"
"3";"2021-02-22 13:50:44 +0100";"2021-02-22 13:50:44 +0100";"Duits Pils";"Een fris, verfrissend licht hoppig en licht moutig bier, waarbij deze variant komt uit Duitsland. Gebrouwen met lager-gist, wat een ""cleane"" smaak geeft, waardoor de smaken van mout en hop mooi naar voren komen. Blond, helder en gemakkelijk doordrinkbaar. Kenmerkend aan de Duitse pilsners is het gebruik van Duitse mouten.";"4";"5.2";"4.4";"7";"10";"4";"1";"5";"4";"0";"1";"7";"Duitsland";"483";"Lichtgekleurd, laag alcohol";"3";"Blond & Krachtig"
"6";"2021-02-22 13:50:44 +0100";"2021-02-22 13:50:44 +0100";"Russian Imperial Stout";"De Russian Imperial Stout werd gebrouwen voor de export naar het oosten. het is een gitzwart bier met intens geroosterde moutige smaken zoals koffie, cacao, geroosterd brood en karamel. Ook kunnen er smaken van gedroogd fruit in voorkomen. De body is vol en de alcohol verwarmt. De afdronk is bitter en zoet, net als de basis-smaak. Ondanks alle heftige smaken moet het bier wel zeker in balans zijn. Een zeer intens bier om rustig van te genieten.";"10";"12.0";"8.0";"79";"99";"59";"0";"7";"8";"0";"4";"19";"Groot Brittanië";"489";"Donkergekleurd, hoog alcohol";"18";"Intens & Uitdagend"
"9";"2021-02-25 11:15:35 +0100";"2021-02-22 13:50:44 +0100";"Cider - fruited";"Een variant op de standaard cider waar nog ander fruit aan wordt toegevoegd; een drank van vergiste sap van appels. De smaak varieert vaak door het gebruikte appelras, de gebruikte gist en het proces.";"7";"9.0";"6.0";"12";"20";"4";"5";"3";"5";"2";"2";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"6";"Fris & Fruitig"
"12";"2021-02-22 13:50:44 +0100";"2021-02-22 13:50:44 +0100";"Fruitlambiek";"Een bier van spontane gisting, geproduceerd in de Zenne-vallei rondom Brussel. Het wordt gebrouwen met een groot deel tarwe, en door de spontane gisting is het bier licht-zurig van smaak. Hop-bitterheid is moeilijk tot niet waarneembaar. Het bier is lichtgekleurd en heeft allerlei ""funky"" aroma's en smaken. Als aan een (mengeling van) lambiek fruit wordt toegevoegd, categoriseren we het als fruitlambiek. Hierbij kun je denken aan abrikoos, rabarber, zwarte bessen, bosvruchten, etc. De smaak krijgt de kleur en de smaken van de vrucht.";"6";"7.0";"5.0";"10";"14";"6";"7";"0";"10";"7";"1";"31";"België";"480";"Overige stijlen of fermentaties";"12";"Wild & Zuur"
"15";"2021-02-22 13:50:44 +0100";"2021-02-22 13:50:44 +0100";"ESB";"Een zwaardere variant op de English Bitter; Een smaakvol en verfrissend ""sessie-bier"". Sommige varianten zijn wat moutiger dan anderen, maar de moutigheid mag nooit de bitterheid van het bier overstemmen. Doordrinkbaarheid is belangrijk bij deze stijl. De smaak is voornamelijk bitter, met een bescheiden moutigheid om de bitter te ondersteunen. De ESB is hoger in alcohol dan de English Bitter, maar nog steeds niet hoger dan 6%.";"5";"5.8";"4.6";"25";"34";"16";"2";"7";"5";"0";"3";"19";"Groot Brittanië";"483";"Lichtgekleurd, laag alcohol";"15";"Bitter & Growl"
"18";"2021-02-22 13:50:44 +0100";"2021-02-22 13:50:44 +0100";"NEPA";"Een lager alcoholische variant van de New England IPA; Een Amerikaanse IPA met intense fruit-smaken en -aroma's. De body is zacht en romig, en het bier is vaak troebel. Het bier komt minder bitter over dan de Amerikaanse IPA, maar er zit wel enorm veel hop in. Bij de New England IPA (of NEIPA) ligt de nadruk van de hop vooral aan het einde van de kook en in het dryhoppen, wat die extreem fruitige smaken met zich meebrengt.";"5";"6.0";"4.5";"10";"14";"6";"7";"2";"5";"0";"7";"1";"Amerika";"483";"Lichtgekleurd, laag alcohol";"6";"Fris & Fruitig"
"21";"2021-02-22 13:50:45 +0100";"2021-02-22 13:50:45 +0100";"Brut";"Een bovengistend zeer delicaat, hoog in alcohol, droog, hoppig, geel tot goudkleurig Belgische biertype, hoog in alcohol. Er worden vaak druiven of druivensap toegevoegd. Hierdoor kan het bier ook donker van kleur worden. Door de grote hoeveelheid koolzuur en het hoge alcoholpercentage, drinkt het als champagne.";"11";"14.0";"9.0";"15";"20";"10";"5";"3";"5";"1";"3";"40";"Frankrijk";"486";"Lichtgekleurd, hoog alcohol";"3";"Blond & Krachtig"
"24";"2021-02-22 13:50:45 +0100";"2021-02-22 13:50:45 +0100";"Gueuze";"Een bier van spontane gisting, geproduceerd in de Zenne-vallei rondom Brussel. Het wordt gebrouwen met een groot deel tarwe, en door de spontane gisting is het bier licht-zurig van smaak. Hop-bitterheid is moeilijk tot niet waarneembaar. Het bier is lichtgekleurd en heeft allerlei ""funky"" aroma's en smaken. Een geuze is een mengeling van 1, 2 en 3-jaar oude lambiek. Door de mengeling op fles te zetten zorgt de 1-jaar oude lambiek voor koolzuur.";"6";"8.0";"5.0";"10";"14";"6";"5";"0";"9";"6";"1";"31";"België";"486";"Lichtgekleurd, hoog alcohol";"12";"Wild & Zuur"
"27";"2021-02-22 13:50:45 +0100";"2021-02-22 13:50:45 +0100";"Imperial Europese Lager";"Ook worden er lagers gebrouwen die sterker zijn in alcohol. De ""imperial lager"" is daarvoor de verzamelnaam. Smaak- en geurkarakteristieken zijn afhankelijk van de basisstijl die is ""versterkt"".";"8";"11.0";"6.0";"25";"44";"6";"1";"5";"5";"0";"2";"34";"Tsjechië";"486";"Lichtgekleurd, hoog alcohol";"3";"Blond & Krachtig"
"30";"2021-02-22 13:50:45 +0100";"2021-02-22 13:50:45 +0100";"Imperial Stout";"Een gitzwart bier met intens geroosterde moutige smaken zoals koffie, cacao, geroosterd brood en karamel. Ook kunnen er smaken van gedroogd fruit in voorkomen. De body is vol en de alcohol verwarmt. De afdronk is bitter en zoet, net als de basis-smaak. Ondanks alle heftige smaken moet het bier wel zeker in balans zijn. Een zeer intens bier om rustig van te genieten.";"10";"12.0";"8.0";"79";"99";"59";"0";"7";"9";"0";"4";"1";"Amerika";"489";"Donkergekleurd, hoog alcohol";"18";"Intens & Uitdagend"
