"id";"name";"updatedAt";"city";"countryName";"state";"type";"createdAt";"facebook";"instagram";"lat";"lng";"logo";"twitter";"url";"description";"photo"
"2";"Traquair House Brewery";"2021-07-01 15:51:18 +0200";"Innerleithen";"Scotland";"Scottish Borders";"Micro Brewery";"2018-12-21 12:01:35 +0100";"http://en-gb.facebook.com/people/Traquair-House-Brewery/100000654291737";"";"55.6083";"-3.06398";"";"";"https://www.traquair.co.uk/brewery/";"";""
"5";"Hop Valley Brewing Company";"2021-07-01 15:51:23 +0200";"Eugene";"United States";"OR";"Micro Brewery";"2018-12-21 12:01:41 +0100";"http://www.facebook.com/HopValley";"HopValleyBrewing";"44.0582";"-123.107";"";"HopValley";"http://www.hopvalleybrewing.com/";"";""
"8";"Gigantic Brewing Company";"2021-07-01 16:31:32 +0200";"Portland";"United States";"OR";"Micro Brewery";"2018-12-21 12:01:47 +0100";"http://www.facebook.com/GiganticBrewing";"GiganticBrewing";"45.485";"-122.639";"";"GiganticBrewing";"http://www.giganticbrewing.com/";"";""
"11";"Kona Brewing Company";"2021-07-01 16:31:33 +0200";"Kailua Kona";"United States";"HI";"Regional Brewery";"2018-12-21 12:01:50 +0100";"https://www.facebook.com/KonaBrewingCo";"konabrewingco";"19.6428";"-155.997";"";"KonaBrewingCo";"http://konabrewingco.com/";"";""
"14";"BrewDog";"2021-07-01 16:31:33 +0200";"Ellon";"Scotland";"Aberdeenshire";"Micro Brewery";"2018-12-21 12:01:53 +0100";"http://www.facebook.com/pages/BrewDog/21251598643";"brewdogofficial";"57.3716";"-2.04834";"";"BrewDog";"http://www.brewdog.com";"";""
"17";"Anderson Valley Brewing Company";"2021-07-01 16:31:33 +0200";"Boonville";"United States";"CA";"Regional Brewery";"2018-12-21 12:01:57 +0100";"http://www.facebook.com/AndersonValleyBrewingCompany";"andersonvalleybrewing";"39.0005";"-123.356";"";"avbc";"http://www.avbc.com";"";""
"20";"Brouwerij Rodenbach";"2021-07-01 16:31:34 +0200";"Roeselare";"Belgium";"Vlaanderen";"Macro Brewery";"2018-12-21 12:02:01 +0100";"http://www.facebook.com/rodenbachbeer";"rodenbachbeer";"50.9461";"3.13801";"";"rodenbachbeer";"http://www.rodenbach.be";"";""
"23";"Brouwerij de Molen";"2021-07-01 16:31:34 +0200";"Bodegraven";"Netherlands";"Zuid-Holland";"Macro Brewery";"2018-12-21 12:02:05 +0100";"http://www.facebook.com/BierbrouwerijDeMolen";"molenbier";"52.0857";"4.74208";"";"molenbier";"http://www.brouwerijdemolen.nl";"";""
"26";"Brauhaus Bevog";"2021-07-01 16:31:34 +0200";"Bad Radkersburg";"Austria";"Steiermark";"Micro Brewery";"2018-12-21 12:02:08 +0100";"http://www.facebook.com/BevogBrewery";"bevog_brewery";"46.6864";"16.012";"";"BevogBrewery";"http://www.bevog.at/";"";""
"29";"Community Beer Company";"2021-07-01 16:31:34 +0200";"Dallas";"United States";"TX";"Regional Brewery";"2018-12-21 12:02:15 +0100";"http://www.facebook.com/communitybeer";"communitybeerco";"32.7909";"-96.8158";"";"CommunityBeerCo";"http://www.communitybeer.com";"";""
"32";"The Sisters Brewery";"2021-07-01 16:31:35 +0200";"Utrecht";"Netherlands";"Utrecht";"Micro Brewery";"2018-12-21 12:02:21 +0100";"https://www.facebook.com/thesistersbrewery/";"the_sisters_brewery";"52.1093";"5.04605";"";"";"http://www.thesistersbrewery.com/";"";""
"35";"Brouwerij Omer Vander Ghinste";"2021-07-01 16:31:35 +0200";"Bellegem";"Belgium";"Vlaanderen";"Micro Brewery";"2018-12-21 12:02:24 +0100";"https://www.facebook.com/omervanderghinste";"omervdg";"50.7771";"3.27887";"";"omervdg";"http://www.omervanderghinste.be";"";""
"38";"Dorpsbrouwerij de Pimpelmeesch";"2021-07-01 16:31:36 +0200";"Chaam";"Netherlands";"Noord-Brabant";"Micro Brewery";"2018-12-21 12:02:28 +0100";"https://www.facebook.com/pages/Dorpsbrouwerij-de-Pimpelmeesch/381045635270898";"";"51.5095";"4.8549";"";"";"http://www.pimpelmeesch.nl";"";""
"41";"Amsterdam Brewboys";"2021-07-01 16:31:36 +0200";"Amsterdam";"Netherlands";"Noord-Holland";"Micro Brewery";"2018-12-21 12:02:32 +0100";"https://www.facebook.com/AmsterdamBrewboys/";"amsterdambrewboys";"52.3669";"4.92585";"";"adambrewboys";"https://amsterdambrewboys.nl";"";""
"44";"Karel V";"2021-07-01 16:31:36 +0200";"";"Netherlands";"";"Micro Brewery";"2018-12-21 12:02:34 +0100";"";"";"0";"0";"";"";"";"";""
"47";"Dogfish Head Craft Brewery";"2021-07-01 16:31:37 +0200";"Milton";"United States";"DE";"Regional Brewery";"2018-12-21 12:02:46 +0100";"http://www.facebook.com/dogfishheadbeer";"dogfishhead";"38.7776";"-75.3099";"";"dogfishbeer";"http://www.dogfish.com/";"";""
"50";"Two Chefs Brewing";"2021-07-01 16:31:37 +0200";"Amsterdam";"Netherlands";"Noord-Holland";"Micro Brewery";"2018-12-21 12:03:05 +0100";"https://www.facebook.com/TwoChefsBrewing";"twochefsbrewing";"52.3932";"4.82035";"";"TwoChefsBrewing";"http://www.TwoChefsBrewing.com";"";""
"53";"Brouwerij Pronck";"2021-07-01 16:31:37 +0200";"Leiden";"Netherlands";"Zuid-Holland";"Micro Brewery";"2018-12-21 12:03:11 +0100";"https://www.facebook.com/pages/Brouwerij-Pronck/799820156744199?sk=info&tab=overview";"brouwerijpronck";"52.1636";"4.49471";"";"brouwerijpronck";"http://www.brouwerijpronck.nl";"";""
"56";"BierBrouwerij De Pauw";"2021-07-01 16:31:39 +0200";"Ommen";"Netherlands";"Overijssel";"Nano Brewery";"2018-12-21 12:03:14 +0100";"";"";"52.4786";"6.47267";"";"";"http://www.pauwbier.nl/";"";""
"59";"Siren Craft Brew";"2021-07-01 16:31:39 +0200";"Wokingham";"England";"Berkshire";"Micro Brewery";"2018-12-21 12:03:15 +0100";"http://www.facebook.com/sirencraftbrew";"sirencraftbrew";"51.3766";"-0.892204";"";"sirencraftbrew";"http://www.sirencraftbrew.com";"";""
"62";"Morebeer Brewing";"2021-07-01 16:31:39 +0200";"Amsterdam";"Netherlands";"Noord-Holland";"Contract Brewery";"2018-12-21 12:03:17 +0100";"https://www.facebook.com/morebeerbrewing";"";"52.3727";"4.88828";"";"";"http://www.morebeer.nl/brewing/";"";""
"65";"Brouwerij De School";"2021-07-01 16:31:39 +0200";"Badhoevedorp";"Netherlands";"Noord-Holland";"Micro Brewery";"2018-12-21 12:03:20 +0100";"https://facebook.com/brouwerijdeschool";"";"52.3272";"4.81438";"";"";"http://www.brouwerijdeschool.com";"";""
"68";"Brasserie Dubuisson";"2021-07-01 16:31:40 +0200";"Pipaix";"Belgium";"Wallonie";"Macro Brewery";"2018-12-21 12:03:23 +0100";"https://www.facebook.com/brasseriedubuisson";"Brasserie_Dubuisson";"50.5765";"3.5575";"";"BrDubuisson";"http://www.dubuisson.com";"";""
"71";"projekt NEO (f.k.a. Neobosski)";"2021-07-01 16:31:40 +0200";"Utrecht";"Netherlands";"Utrecht";"Micro Brewery";"2018-12-21 12:03:36 +0100";"https://www.facebook.com/neobosski/";"";"52.1161";"5.11679";"";"";"http://www.neobosski.com";"";""
"74";"Drift Brouwers";"2021-07-01 16:31:41 +0200";"Rotterdam";"Netherlands";"Zuid-Holland";"Micro Brewery";"2018-12-21 12:03:39 +0100";"https://www.facebook.com/driftbrouwers";"https://www.instagram.com/drift_brouwers/";"51.9284";"4.50298";"";"";"http://www.driftbrouwers.nl/";"";""
"77";"De Moersleutel";"2021-07-01 16:31:41 +0200";"Alkmaar";"Netherlands";"Noord-Holland";"Micro Brewery";"2018-12-21 12:03:41 +0100";"https://www.facebook.com/Brouwerij-de-Moersleutel-1003990899646471/";"de_moersleutel_craft_brewery";"52.6102";"4.75701";"";"";"http://brouwerijdemoersleutel.nl/";"";""
"80";"Brouwerij The Musketeers";"2021-07-01 16:31:41 +0200";"Sint-Gillis-Waas";"Belgium";"Vlaanderen";"Micro Brewery";"2018-12-21 12:03:46 +0100";"http://www.facebook.com/TheMusketeersBrewery";"themusketeersbrewery";"51.2261";"4.08646";"";"Troubadourbeer";"http://www.themusketeers.be";"";""
"83";"Brouwerij Kleiburg";"2021-07-01 16:31:41 +0200";"Amsterdam";"Netherlands";"Noord-Holland";"Micro Brewery";"2018-12-21 12:03:51 +0100";"http://facebook.com/BrouwerijKleiburg";"Kleiburg";"52.3035";"4.9514";"";"Kleiburg";"http://brouwerijkleiburg.nl";"";""
